acetate#acetate|Test
acetate#bromide|Train
acetate#chloride|Train
acetate#fluoride|Test
acetate#lithium|Test
acetate#potassium|Train
acetate#sodium|Test
acetate#water|Test
ammonium#acetate|Train
ammonium#ammonium|Train
ammonium#bromide|Test
ammonium#chloride|Test
ammonium#ethylammonium|Test
ammonium#fluoride|Train
ammonium#formate|Train
ammonium#lithium|Test
ammonium#methylammonium|Train
ammonium#potassium|Train
ammonium#sodium|Test
ammonium#water|Train
bromide#bromide|Train
bromide#chloride|Train
bromide#fluoride|Train
chloride#chloride|Train
chloride#fluoride|Train
ethylammonium#acetate|Train
ethylammonium#bromide|Test
ethylammonium#chloride|Train
ethylammonium#ethylammonium|Test
ethylammonium#fluoride|Test
ethylammonium#formate|Train
ethylammonium#lithium|Train
ethylammonium#methylammonium|Train
ethylammonium#potassium|Test
ethylammonium#sodium|Train
ethylammonium#water|Train
fluoride#fluoride|Train
formate#acetate|Train
formate#bromide|Test
formate#chloride|Train
formate#fluoride|Train
formate#formate|Test
formate#lithium|Test
formate#potassium|Train
formate#sodium|Train
formate#water|Train
guanidinium#acetate|Train
guanidinium#bromide|Train
guanidinium#chloride|Train
guanidinium#fluoride|Test
guanidinium#formate|Train
guanidinium#water|Train
imidazolium#acetate|Train
imidazolium#bromide|Train
imidazolium#chloride|Train
imidazolium#formate|Train
imidazolium#imidazolium|Train
imidazolium#water|Train
lithium#bromide|Test
lithium#chloride|Test
lithium#fluoride|Test
lithium#lithium|Train
lithium#potassium|Test
lithium#sodium|Test
methylammonium#acetate|Train
methylammonium#bromide|Test
methylammonium#chloride|Train
methylammonium#fluoride|Test
methylammonium#formate|Train
methylammonium#lithium|Train
methylammonium#methylammonium|Train
methylammonium#potassium|Train
methylammonium#sodium|Test
methylammonium#water|Train
potassium#bromide|Train
potassium#butanoate|Train
potassium#chloride|Train
potassium#fluoride|Train
potassium#potassium|Train
potassium#propanoate|Train
sodium#bromide|Train
sodium#butanoate|Train
sodium#chloride|Train
sodium#fluoride|Train
sodium#potassium|Train
sodium#propanoate|Test
sodium#sodium|Train
water#bromide|Train
water#chloride|Train
water#fluoride|Test
water#lithium|Train
water#potassium|Train
water#sodium|Train
water#water|Test
