acetate#bromide|Train
acetate#chloride|Train
acetate#potassium|Train
ammonium#acetate|Train
ammonium#ammonium|Train
ammonium#fluoride|Train
ammonium#formate|Train
ammonium#methylammonium|Train
ammonium#potassium|Train
ammonium#water|Train
bromide#bromide|Train
bromide#chloride|Train
bromide#fluoride|Train
chloride#chloride|Train
chloride#fluoride|Train
ethylammonium#acetate|Train
ethylammonium#chloride|Train
ethylammonium#formate|Train
ethylammonium#lithium|Train
ethylammonium#methylammonium|Train
ethylammonium#sodium|Train
ethylammonium#water|Train
fluoride#fluoride|Train
formate#acetate|Train
formate#chloride|Train
formate#fluoride|Train
formate#potassium|Train
formate#sodium|Train
formate#water|Train
guanidinium#acetate|Train
guanidinium#bromide|Train
guanidinium#chloride|Train
guanidinium#formate|Train
guanidinium#water|Train
imidazolium#acetate|Train
imidazolium#bromide|Train
imidazolium#chloride|Train
imidazolium#formate|Train
imidazolium#imidazolium|Train
imidazolium#water|Train
lithium#lithium|Train
methylammonium#acetate|Train
methylammonium#chloride|Train
methylammonium#formate|Train
methylammonium#lithium|Train
methylammonium#methylammonium|Train
methylammonium#potassium|Train
methylammonium#water|Train
potassium#bromide|Train
potassium#butanoate|Train
potassium#chloride|Train
potassium#fluoride|Train
potassium#potassium|Train
potassium#propanoate|Train
sodium#bromide|Train
sodium#butanoate|Train
sodium#chloride|Train
sodium#fluoride|Train
sodium#potassium|Train
sodium#sodium|Train
water#bromide|Train
water#chloride|Train
water#lithium|Train
water#potassium|Train
water#sodium|Train
